Date,Open,High,Low,Close,Adj Close,Volume
1997-09-17,5.167146,5.436736,5.167146,5.234543,4.026523,29185400
1997-09-18,5.301941,5.414270,5.257010,5.414270,4.164774,6731800
1997-09-19,5.403038,5.571531,5.403038,5.436736,4.182056,3440200
1997-09-22,5.391805,5.459202,5.380571,5.391805,4.147494,5831000
1997-09-23,5.391805,5.414270,5.380571,5.391805,4.147494,2738600
1997-09-24,5.403038,5.414270,5.380571,5.391805,4.147494,2575500
1997-09-25,5.391805,5.470435,5.391805,5.470435,4.207976,1005900
1997-09-26,5.459202,5.616463,5.447969,5.605230,4.311663,1636300
1997-09-29,5.616463,5.683860,5.616463,5.683860,4.372149,1708100
1997-09-30,5.740025,5.998383,5.728792,5.818655,4.475836,4639200
1997-10-01,5.829888,5.829888,5.571531,5.571531,4.285743,3525900
1997-10-02,5.593997,5.605230,5.481668,5.549066,4.268461,1870600
1997-10-03,5.605230,5.661395,5.571531,5.627696,4.328943,2065300
1997-10-06,5.605230,5.796190,5.605230,5.751258,4.423992,7842400
1997-10-07,5.796190,5.886053,5.504134,5.593997,4.303023,21602200
1997-10-08,5.593997,5.616463,5.481668,5.515367,4.242538,16664700
1997-10-09,5.504134,5.751258,5.403038,5.740025,4.415350,12844400
1997-10-10,5.549066,5.740025,5.526599,5.672627,4.363507,10308900
1997-10-13,5.683860,5.762491,5.672627,5.762491,4.432632,10520900
1997-10-14,5.717559,5.829888,5.706326,5.728792,4.406710,17077000
1997-10-15,5.593997,5.717559,5.593997,5.706326,4.389430,9048700
1997-10-16,5.751258,5.773724,5.661395,5.706326,4.389430,9002500
1997-10-17,5.616463,5.638929,5.447969,5.605230,4.311663,6431400
1997-10-20,5.582764,5.829888,5.582764,5.796190,4.458555,7995400
1997-10-21,5.751258,6.144411,5.751258,6.032081,4.640006,9219500
1997-10-22,5.930985,5.998383,5.863587,5.930985,4.562241,5610700
1997-10-23,5.841122,5.942218,5.796190,5.930985,4.562241,7688800
1997-10-24,5.942218,5.975916,5.829888,5.930985,4.562241,5598400
1997-10-27,5.841122,5.852355,5.504134,5.593997,4.303023,6699000
1997-10-28,5.414270,5.683860,5.234543,5.560298,4.277101,4660400
1997-10-29,5.582764,5.661395,5.425503,5.447969,4.190697,3286000
1997-10-30,5.234543,5.425503,5.234543,5.301941,4.078368,4901800
1997-10-31,5.301941,5.481668,5.290708,5.447969,4.190697,5334200
1997-11-03,5.481668,5.526599,5.403038,5.481668,4.216619,5457100
1997-11-04,5.436736,5.492901,5.369339,5.414270,4.164774,5849900
1997-11-05,5.391805,5.481668,5.369339,5.425503,4.173414,6204900
1997-11-06,5.436736,5.751258,5.414270,5.683860,4.372149,6185400
1997-11-07,5.661395,5.829888,5.571531,5.751258,4.423992,6055800
1997-11-10,5.796190,6.178109,5.773724,6.077013,4.674571,5481600
1997-11-11,5.886053,6.043314,5.886053,6.020848,4.631367,4125100
1997-11-12,5.975916,6.020848,5.897286,5.897286,4.536319,4147400
1997-11-13,5.919752,6.054547,5.919752,6.020848,4.631367,6960000
1997-11-14,6.155643,6.470165,6.133178,6.335370,4.873303,11075600
1997-11-17,6.380302,6.515097,6.335370,6.346603,4.881944,5030400
1997-11-18,6.312904,6.346603,6.043314,6.077013,4.674571,5827100
1997-11-19,6.043314,6.155643,5.998383,6.110712,4.700490,6024100
1997-11-20,6.110712,6.166876,6.088246,6.133178,4.717773,6341200
1997-11-21,6.121944,6.223041,6.110712,6.200575,4.769617,3088000
1997-11-24,6.110712,6.200575,6.020848,6.020848,4.631367,3880800
1997-11-25,6.032081,6.054547,5.841122,5.886053,4.527678,3297700
1997-11-26,5.841122,5.998383,5.841122,5.964684,4.588164,2655100
1997-11-28,5.953451,6.110712,5.953451,6.077013,4.674571,1168900
1997-12-01,6.178109,6.178109,6.077013,6.110712,4.700490,3024000
1997-12-02,6.155643,6.155643,6.043314,6.121944,4.709131,4351600
1997-12-03,6.110712,6.245507,6.110712,6.234274,4.795537,2006900
1997-12-04,6.290439,6.369069,6.234274,6.256740,4.812819,4566300
1997-12-05,6.256740,6.267972,6.200575,6.223041,4.786897,3969900
1997-12-08,6.178109,6.279206,6.155643,6.200575,4.769617,2142600
1997-12-09,6.133178,6.200575,6.121944,6.144411,4.726412,1943500
1997-12-10,6.110712,6.110712,5.695094,5.796190,4.458555,8938500
1997-12-11,5.683860,5.706326,5.549066,5.593997,4.303023,6056900
1997-12-12,5.605230,5.616463,5.436736,5.459202,4.199336,4678200
1997-12-15,5.414270,5.526599,5.403038,5.425503,4.173414,9977300
1997-12-16,5.391805,5.560298,5.391805,5.526599,4.251181,10624400
1997-12-17,5.537832,5.627696,5.425503,5.459202,4.199336,6991100
1997-12-18,5.414270,5.425503,5.313174,5.369339,4.130212,2701800
1997-12-19,5.346873,5.391805,5.324407,5.358106,4.121572,2821500
1997-12-22,5.391805,5.414270,5.279475,5.358106,4.121572,2253900
1997-12-23,5.313174,5.335640,5.088515,5.099749,3.922836,4369900
1997-12-24,5.054817,5.178379,5.009885,5.167146,3.974679,2143800
1997-12-26,5.144680,5.155913,5.088515,5.088515,3.914196,1234600
1997-12-29,5.043584,5.212078,5.032351,5.099749,3.922836,2182200
1997-12-30,5.099749,5.313174,5.088515,5.268242,4.052445,2689600
1997-12-31,5.223310,5.245777,5.167146,5.223310,4.017883,4221900
1998-01-02,5.223310,5.268242,5.099749,5.234543,4.026523,2959400
1998-01-05,5.234543,5.257010,5.009885,5.077282,3.905555,6857600
1998-01-06,5.009885,5.009885,4.841391,4.863857,3.741384,8561800
1998-01-07,4.830158,4.987419,4.785226,4.852624,3.732744,6014100
1998-01-08,4.762761,4.807693,4.627965,4.661664,3.585853,5433200
1998-01-09,4.650431,4.841391,4.627965,4.672897,3.594493,9729700
1998-01-12,4.515636,4.751528,4.504403,4.695363,3.611775,5332500
1998-01-13,4.650431,4.740295,4.627965,4.695363,3.611775,4983100
1998-01-14,4.706596,4.818925,4.594267,4.695363,3.611775,3789000
1998-01-15,4.672897,4.830158,4.627965,4.807693,3.698181,8781100
1998-01-16,4.785226,4.852624,4.773993,4.841391,3.724103,3096300
1998-01-20,4.830158,4.987419,4.807693,4.987419,3.836430,3917600
1998-01-21,4.942487,4.942487,4.886323,4.920022,3.784586,2364100
